iter	Passed	Remaining
0	201	200876
1	450	224676
2	639	212397
3	806	200891
4	981	195221
5	1125	186530
6	1262	179095
7	1405	174235
8	1548	170503
9	1681	166513
10	1806	162453
11	1936	159449
12	2066	156895
13	2208	155555
14	2380	156340
15	2541	156326
16	2688	155476
17	2828	154336
18	2955	152572
19	3090	151443
20	3231	150660
21	3367	149714
22	3509	149072
23	3648	148384
24	3777	147334
25	3902	146187
26	4025	145082
27	4163	144530
28	4299	143956
29	4436	143452
30	4589	143461
31	4787	144824
32	5000	146519
33	5217	148240
34	5390	148622
35	5569	149134
36	5756	149812
37	5948	150583
38	6124	150913
39	6288	150931
40	6467	151281
41	6619	150985
42	6782	150943
43	6925	150482
44	7072	150093
45	7219	149734
46	7404	150143
47	7576	150276
48	7719	149814
49	7862	149380
50	7988	148642
51	8126	148161
52	8304	148376
53	8480	148570
54	8652	148659
55	8810	148527
56	8943	147964
57	9096	147746
58	9251	147557
59	9487	148636
60	9630	148248
61	9801	148288
62	10004	148792
63	10201	149198
64	10367	149138
65	10543	149205
66	10698	148986
67	10862	148878
68	11012	148592
69	11151	148155
70	11288	147700
71	11427	147285
72	11584	147110
73	11768	147267
74	11932	147171
75	12100	147118
76	12294	147379
77	12490	147643
78	12667	147683
79	12851	147793
80	13033	147873
81	13217	147972
82	13387	147912
83	13545	147711
84	13702	147504
85	13862	147327
86	14027	147203
87	14176	146918
88	14320	146586
89	14459	146205
90	14596	145808
91	14740	145479
92	14923	145545
93	15092	145470
94	15240	145188
95	15389	144916
96	15531	144588
97	15677	144297
98	15807	143864
99	15940	143467
100	16083	143159
101	16221	142817
102	16374	142604
103	16518	142316
104	16656	141978
105	16795	141650
106	16936	141347
107	17077	141045
108	17242	140948
109	17407	140842
110	17596	140931
111	17764	140848
112	17925	140707
113	18086	140567
114	18218	140206
115	18335	139732
116	18459	139317
117	18594	138986
118	18725	138635
119	18872	138398
120	19003	138050
121	19130	137677
122	19262	137340
123	19378	136898
124	19522	136656
125	19673	136464
126	19843	136405
127	19991	136192
128	20123	135874
129	20244	135484
130	20372	135145
131	20502	134817
132	20626	134461
133	20753	134124
134	20888	133839
135	21020	133544
136	21163	133315
137	21307	133092
138	21428	132736
139	21553	132397
140	21684	132105
141	21817	131828
142	21976	131707
143	22154	131694
144	22311	131563
145	22452	131330
146	22573	130988
147	22692	130636
148	22824	130357
149	22958	130095
150	23084	129790
151	23209	129485
152	23341	129217
153	23473	128949
154	23610	128713
155	23743	128458
156	23869	128164
157	23991	127850
158	24123	127596
159	24252	127324
160	24426	127291
161	24694	127741
162	24869	127705
163	25003	127457
164	25148	127264
165	25276	126989
166	25408	126737
167	25548	126526
168	25681	126280
169	25809	126010
170	25938	125747
171	26066	125482
172	26189	125192
173	26333	125007
174	26478	124828
175	26607	124572
176	26743	124347
177	26875	124111
178	27023	123943
179	27185	123845
180	27318	123613
181	27442	123340
182	27568	123078
183	27691	122807
184	27823	122574
185	27957	122350
186	28081	122088
187	28207	121834
188	28322	121533
189	28443	121259
190	28578	121049
191	28718	120855
192	28853	120644
193	28985	120426
194	29113	120187
195	29245	119964
196	29375	119739
197	29537	119643
198	29694	119523
199	29835	119341
200	29963	119107
201	30088	118865
202	30218	118640
203	30344	118401
204	30470	118167
205	30590	117905
206	30715	117667
207	30847	117457
208	30977	117239
209	31114	117048
210	31252	116864
211	31377	116628
212	31496	116372
213	31618	116129
214	31758	115957
215	31930	115895
216	32086	115776
217	32231	115618
218	32370	115438
219	32492	115199
220	32609	114944
221	32733	114713
222	32868	114523
223	33006	114343
224	33150	114185
225	33288	114005
226	33411	113776
227	33532	113541
228	33670	113362
229	33791	113128
230	33912	112893
231	34057	112741
232	34201	112585
233	34359	112477
234	34510	112342
235	34673	112247
236	34812	112076
237	34945	111884
238	35081	111702
239	35212	111507
240	35346	111318
241	35486	111153
242	35617	110957
243	35742	110743
244	35861	110510
245	35987	110301
246	36126	110134
247	36257	109942
248	36390	109756
249	36531	109593
250	36674	109438
251	36820	109291
252	36975	109172
253	37122	109027
254	37238	108794
255	37362	108585
256	37492	108392
257	37623	108203
258	37754	108014
259	37890	107842
260	38036	107696
261	38173	107525
262	38307	107349
263	38456	107211
264	38593	107043
265	38735	106886
266	38878	106734
267	39026	106594
268	39184	106482
269	39338	106360
270	39488	106226
271	39633	106079
272	39774	105919
273	39996	105975
274	40145	105838
275	40282	105668
276	40399	105445
277	40516	105226
278	40634	105009
279	40758	104806
280	40887	104619
281	41017	104434
282	41149	104255
283	41301	104125
284	41441	103966
285	41584	103815
286	41714	103632
287	41872	103517
288	42010	103355
289	42165	103233
290	42289	103034
291	42411	102833
292	42528	102619
293	42651	102420
294	42774	102224
295	42904	102043
296	43040	101876
297	43175	101708
298	43295	101505
299	43421	101317
300	43539	101109
301	43668	100930
302	43806	100769
303	43946	100615
304	44086	100459
305	44234	100323
306	44373	100165
307	44515	100014
308	44637	99820
309	44768	99645
310	44890	99452
311	45010	99253
312	45134	99065
313	45256	98871
314	45385	98694
315	45507	98504
316	45633	98321
317	45754	98128
318	45878	97941
319	46005	97760
320	46160	97640
321	46295	97478
322	46444	97346
323	46587	97200
324	46722	97039
325	46846	96854
326	46968	96665
327	47087	96472
328	47208	96283
329	47331	96098
330	47456	95916
331	47584	95742
332	47708	95559
333	47832	95379
334	47954	95193
335	48075	95005
336	48211	94848
337	48332	94662
338	48475	94520
339	48627	94393
340	48772	94256
341	48913	94107
342	49063	93978
343	49193	93810
344	49327	93651
345	49465	93499
346	49598	93336
347	49725	93164
348	49852	92992
349	49975	92810
350	50095	92626
351	50222	92454
352	50346	92278
353	50475	92111
354	50606	91947
355	50738	91785
356	50878	91637
357	51020	91494
358	51175	91374
359	51315	91228
360	51481	91126
361	51619	90975
362	51776	90858
363	51913	90706
364	52044	90543
365	52175	90380
366	52298	90204
367	52438	90056
368	52578	89911
369	52715	89758
370	52942	89759
371	53091	89627
372	53239	89494
373	53396	89375
374	53552	89254
375	53575	88911
376	53728	88787
377	53883	88665
378	54021	88515
379	54151	88352
380	54295	88213
381	54431	88059
382	54580	87927
383	54713	87769
384	54843	87606
385	54984	87461
386	55124	87316
387	55270	87179
388	55420	87048
389	55575	86925
390	55723	86791
391	55878	86669
392	56056	86581
393	56230	86487
394	56368	86336
395	56508	86189
396	56645	86038
397	56778	85881
398	56916	85731
399	57051	85577
400	57185	85421
401	57322	85270
402	57465	85128
403	57602	84977
404	57735	84821
405	57873	84672
406	58031	84551
407	58181	84420
408	58327	84282
409	58530	84226
410	58670	84079
411	58820	83948
412	58952	83789
413	59086	83634
414	59210	83464
415	59327	83286
416	59461	83131
417	59594	82975
418	59715	82803
419	59848	82648
420	59972	82479
421	60098	82315
422	60227	82154
423	60346	81980
424	60466	81807
425	60596	81648
426	60742	81511
427	60900	81390
428	61035	81239
429	61196	81120
430	61373	81024
431	61517	80883
432	61651	80730
433	61769	80556
434	61906	80407
435	62033	80245
436	62171	80097
437	62314	79956
438	62440	79792
439	62563	79626
440	62681	79453
441	62819	79306
442	63016	79232
443	63182	79120
444	63349	79009
445	63513	78892
446	63648	78742
447	63764	78566
448	63910	78428
449	64031	78261
450	64161	78102
451	64293	77948
452	64434	77804
453	64563	77646
454	64697	77494
455	64840	77353
456	64975	77202
457	65097	77037
458	65223	76875
459	65347	76711
460	65558	76651
461	65733	76546
462	65910	76444
463	66056	76306
464	66180	76143
465	66304	75979
466	66432	75821
467	66577	75681
468	66711	75530
469	66836	75368
470	66962	75208
471	67090	75050
472	67222	74897
473	67351	74740
474	67476	74579
475	67603	74420
476	67728	74260
477	67855	74101
478	67986	73947
479	68129	73806
480	68295	73691
481	68420	73531
482	68555	73381
483	68684	73225
484	68805	73062
485	68934	72906
486	69057	72744
487	69189	72592
488	69311	72429
489	69422	72256
490	69559	72109
491	69688	71954
492	69816	71799
493	69947	71646
494	70068	71483
495	70184	71316
496	70302	71151
497	70440	71006
498	70588	70871
499	70784	70784
